incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
818790269,2017-00018913,09/16/2017 08:20:05 AM,ACCIDENT,ACCIDENT,,CENTRAL AVE,,EL CERRITO,CA,,,37.9019,-122.305,09/17/2017 07:10:06 AM,03/15/2018 03:38:21 PM,POINT (-122.305 37.9019),8,Saturday,Traffic
818790270,2017-00018944,09/16/2017 04:52:20 PM,ACCIDENT,ACCIDENT,,11900 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9304,-122.322,09/17/2017 07:10:06 AM,03/16/2018 03:07:05 AM,POINT (-122.322 37.9304),16,Saturday,Traffic
818790271,2017-00018952,09/16/2017 06:32:00 PM,HIT AND RUN,HIT AND RUN,,CUTTING BLVD,,EL CERRITO,CA,,,37.9254,-122.319,09/17/2017 07:10:06 AM,03/16/2018 05:11:51 AM,POINT (-122.319 37.9254),18,Saturday,Traffic
819751115,2017-00019134,09/19/2017 09:53:00 AM,ACCIDENT,ACCIDENT,,5400 Block BARRETT AVE,,EL CERRITO,CA,,,37.9356,-122.319,09/20/2017 07:10:02 AM,03/18/2018 06:46:41 PM,POINT (-122.319 37.9356),9,Tuesday,Traffic
819751116,2017-00019170,09/19/2017 05:06:00 PM,ACCIDENT,ACCIDENT,,ARLINGTON BLVD,,EL CERRITO,CA,,,37.9323,-122.309,09/20/2017 07:10:02 AM,03/19/2018 02:16:12 AM,POINT (-122.309 37.9323),17,Tuesday,Traffic
831501676,2018-00000826,01/12/2018 01:33:00 PM,ACCIDENT,ACCIDENT,,SAN PABLO AVE,,RICHMOND,CA,,,37.9077,-122.306,01/13/2018 08:10:12 AM,07/11/2018 12:02:04 AM,POINT (-122.306 37.9077),13,Friday,Traffic
769791618,2016-00016006,08/18/2016 07:09:00 PM,HS 11377 MIS - POSSESS CONTROLED SUBSTANCE,HS 11377 MIS - POSSESS CONTROLED SUBSTANCE,,1500 Block ELM ST,,EL CERRITO,CA,,,37.9208,-122.311,08/26/2016 05:09:58 AM,05/27/2018 10:37:08 AM,POINT (-122.311 37.9208),19,Thursday,Drugs
831836489,2018-00001143,01/17/2018 05:50:53 PM,HIT AND RUN,HIT AND RUN,,S 53RD ST,,EL CERRITO,CA,,,37.9209,-122.32,01/18/2018 08:10:14 AM,07/16/2018 11:29:14 PM,POINT (-122.32 37.9209),17,Wednesday,Traffic
831925581,2018-00001171,01/18/2018 11:33:26 AM,ACCIDENT,ACCIDENT,,S 47TH ST,,RICHMOND,CA,,,37.9212,-122.325,01/19/2018 08:10:13 AM,07/16/2018 11:29:14 PM,POINT (-122.325 37.9212),11,Thursday,Traffic
831925582,2018-00001190,01/18/2018 03:52:19 PM,HIT AND RUN,HIT AND RUN,,10900 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9157,-122.312,01/19/2018 08:10:13 AM,07/16/2018 11:29:14 PM,POINT (-122.312 37.9157),15,Thursday,Traffic
831925583,2018-00001203,01/18/2018 08:52:53 PM,ACCIDENT,ACCIDENT,,BLAKE ST,,EL CERRITO,CA,,,37.9216,-122.316,01/19/2018 08:10:13 AM,07/16/2018 11:29:14 PM,POINT (-122.316 37.9216),20,Thursday,Traffic
832028170,2018-00001227,01/19/2018 09:11:30 AM,HIT AND RUN,HIT AND RUN,,5900 Block CUTTING BLVD,,EL CERRITO,CA,,,37.9255,-122.318,01/20/2018 08:10:09 AM,07/16/2018 11:29:14 PM,POINT (-122.318 37.9255),9,Friday,Traffic
860863588,2018-00011976,06/21/2018 06:24:00 PM,ACCIDENT,ACCIDENT,,SAN DIEGO ST,,EL CERRITO,CA,,,37.9011,-122.304,06/22/2018 03:19:52 AM,07/22/2018 03:01:53 PM,POINT (-122.304 37.9011),18,Thursday,Traffic
828339647,2017-00022096,10/31/2017 03:50:00 AM,VC 23152 B DUI:ALCOHOL/DRUGS,VC 23152 B DUI:ALCOHOL/DRUGS,,SAN PABLO AVE & WALL AVE,,EL CERRITO,CA,,,37.9279,-122.32,12/06/2017 08:10:49 AM,12/12/2017 08:11:43 AM,POINT (-122.32 37.9279),3,Tuesday,Traffic
